regulator.values	target.values	mi.values	scc.values	count.values	log.p.values
ENSG00000248333	ENSG00000259956	0.083516	0.0365438	1	-nan
ENSG00000248333	ENSG00000255112	0.129142	0.0590964	1	-nan
ENSG00000248333	ENSG00000243927	0.134259	0.039211	1	-nan
ENSG00000248333	ENSG00000242612	0.0516811	0.0261316	2	-nan
ENSG00000248333	ENSG00000226742	0.143416	0.0502912	1	-nan
ENSG00000248333	ENSG00000215717	0.0976148	0.0330776	1	-nan
ENSG00000248333	ENSG00000215183	2.81102e-05	0.00129878	1	-nan
ENSG00000248333	ENSG00000214756	0.0735509	0.0437204	1	-nan
ENSG00000248333	ENSG00000213064	0.113229	0.0538418	1	-nan
ENSG00000248333	ENSG00000198876	0.0886487	0.0472035	1	-nan
ENSG00000248333	ENSG00000197930	0.108752	0.0455253	1	-nan
ENSG00000248333	ENSG00000197798	0.0418587	0.0211933	1	-nan
ENSG00000248333	ENSG00000197102	0.150175	0.0798322	1	-nan
ENSG00000248333	ENSG00000188559	0.080824	0.0601213	2	-nan
ENSG00000248333	ENSG00000188257	0.000115516	-0.00698162	1	-nan
ENSG00000248333	ENSG00000185869	1.4595e-06	0.00541083	1	-nan
ENSG00000248333	ENSG00000185359	0.126784	0.0655654	2	-nan
ENSG00000248333	ENSG00000184752	0.164712	0.0082093	1	-nan
ENSG00000248333	ENSG00000184428	0.0502782	0.018279	1	-nan
ENSG00000248333	ENSG00000184260	0.0540599	0.0469718	1	-nan
ENSG00000248333	ENSG00000184207	0.103456	0.0587039	1	-nan
ENSG00000248333	ENSG00000183765	0.0319457	0.0150873	1	-nan
ENSG00000248333	ENSG00000183648	0.152565	-0.0117918	1	-nan
ENSG00000248333	ENSG00000180777	1.22539e-05	0.00380397	1	-nan
ENSG00000248333	ENSG00000178038	0.0237763	0.0213364	1	-nan
ENSG00000248333	ENSG00000177963	0.101031	0.0496265	1	-nan
ENSG00000248333	ENSG00000176087	0.0915926	0.0345232	1	-nan
